Timestamp,Class,Confidence,BBox
2025-12-09 17:50:29.442871,wheel_handle_valve,0.36,"[421.90966796875, 568.1453247070312, 585.8699340820312, 677.2984619140625]"
2025-12-09 17:50:29.841782,wheel_handle_valve,0.33,"[420.51556396484375, 566.1622314453125, 587.3943481445312, 676.7129516601562]"
2025-12-09 17:50:30.259779,wheel_handle_valve,0.56,"[419.076416015625, 563.8470458984375, 590.8070678710938, 676.0521850585938]"
2025-12-09 17:50:30.671989,wheel_handle_valve,0.54,"[428.7828063964844, 561.5604248046875, 591.689697265625, 676.4745483398438]"
2025-12-09 17:50:31.091948,wheel_handle_valve,0.36,"[411.48394775390625, 562.9391479492188, 590.4204711914062, 677.0379638671875]"
2025-12-09 17:50:31.527130,wheel_handle_valve,0.61,"[420.939697265625, 564.1895141601562, 590.14892578125, 677.1041259765625]"
2025-12-09 17:50:31.885724,wheel_handle_valve,0.48,"[413.07781982421875, 563.0333251953125, 591.485107421875, 676.720458984375]"
2025-12-09 17:50:32.297615,wheel_handle_valve,0.41,"[416.29595947265625, 564.0477294921875, 590.196533203125, 677.5020751953125]"
2025-12-09 17:50:32.768206,wheel_handle_valve,0.52,"[409.41534423828125, 563.1578369140625, 591.6116333007812, 677.3045654296875]"
2025-12-09 17:50:33.185202,wheel_handle_valve,0.38,"[414.573974609375, 563.8260498046875, 590.7077026367188, 676.2781372070312]"
2025-12-09 17:50:33.606282,wheel_handle_valve,0.30,"[412.57501220703125, 564.1161499023438, 589.1617431640625, 676.9598999023438]"
2025-12-09 17:50:34.029634,wheel_handle_valve,0.37,"[416.96136474609375, 563.571044921875, 589.586669921875, 676.058349609375]"
2025-12-09 17:50:34.404421,wheel_handle_valve,0.37,"[411.771240234375, 563.9907836914062, 591.1473388671875, 677.3572387695312]"
2025-12-09 17:50:34.778807,wheel_handle_valve,0.33,"[415.05389404296875, 562.9614868164062, 590.3446044921875, 677.2451782226562]"
2025-12-09 17:50:36.004658,wheel_handle_valve,0.37,"[414.52880859375, 564.0123291015625, 588.8150634765625, 677.7780151367188]"
2025-12-09 17:50:36.425227,wheel_handle_valve,0.38,"[417.59912109375, 564.8427734375, 589.5651245117188, 676.9410400390625]"
2025-12-09 17:50:37.245049,wheel_handle_valve,0.36,"[420.5384216308594, 565.0883178710938, 589.0376586914062, 677.2880249023438]"
2025-12-09 17:50:37.660559,wheel_handle_valve,0.32,"[415.97711181640625, 564.5477294921875, 588.3575439453125, 676.739990234375]"
2025-12-09 17:50:38.070951,wheel_handle_valve,0.41,"[415.47125244140625, 564.6393432617188, 590.158935546875, 676.6925048828125]"
