timestamp,person_count,max_today,total_detections,avg_confidence
2026-02-09T13:00:54.699768,0,0,0,0
2026-02-09T13:00:58.704002,0,0,0,0
2026-02-09T13:01:02.809479,0,0,0,0
2026-02-09T13:01:06.814609,0,0,0,0
2026-02-09T13:01:10.851485,0,0,0,0
2026-02-09T13:01:14.852501,0,0,0,0
2026-02-09T13:01:18.852980,0,0,0,0
2026-02-09T13:01:22.949062,3,3,11,0.9
2026-02-09T13:01:26.952523,4,4,30,0.81
2026-02-09T13:01:31.402900,4,4,51,0.9
2026-02-09T13:01:35.852205,4,4,75,0.85
2026-02-09T13:01:40.409097,4,5,100,0.76
2026-02-09T13:01:44.902103,1,5,118,0.92
2026-02-09T13:01:49.497830,1,5,120,0.89
2026-02-09T13:01:53.605425,1,5,124,0.62
2026-02-09T13:01:57.600650,2,5,131,0.44
2026-02-09T13:02:01.601814,0,5,135,0
2026-02-09T13:02:05.699969,1,5,136,0.92
2026-02-09T13:02:09.701217,1,5,142,0.91
2026-02-09T13:02:13.756250,1,5,148,0.92
2026-02-09T13:02:17.749379,0,5,150,0
2026-02-09T13:02:21.757257,0,5,150,0
2026-02-09T13:02:25.858893,0,5,150,0
2026-02-09T13:02:29.869355,0,5,150,0
2026-02-09T13:02:33.914262,0,5,150,0
2026-02-09T13:02:37.903682,0,5,150,0
2026-02-09T13:02:41.906552,0,5,150,0
2026-02-09T13:02:45.920743,0,5,150,0
2026-02-09T13:02:50.049067,0,5,150,0
2026-02-09T13:02:54.265942,0,5,150,0
2026-02-09T13:02:58.131939,0,5,150,0
2026-02-09T13:25:17.323714,3,3,11,0.89
2026-02-09T13:25:21.921911,4,5,36,0.9
2026-02-09T13:25:26.622727,5,5,62,0.59
2026-02-09T13:25:30.927330,0,5,62,0
2026-02-09T13:25:35.320542,0,5,62,0
2026-02-09T13:25:39.329172,0,5,62,0
2026-02-09T13:25:43.320546,0,5,62,0
2026-02-09T13:25:47.381437,0,5,62,0
2026-02-09T13:25:51.474002,0,5,62,0
2026-02-09T13:25:55.427199,0,5,62,0
2026-02-09T13:25:59.428473,0,5,62,0
2026-02-09T13:26:03.422814,0,5,62,0
2026-02-09T13:26:07.475545,0,5,62,0
2026-02-09T13:26:11.479219,0,5,62,0
2026-02-09T13:26:15.671228,0,5,62,0
2026-02-09T13:26:19.671001,0,5,62,0
2026-02-09T13:26:23.775868,0,5,62,0
2026-02-09T13:26:27.721381,0,5,62,0
2026-02-09T13:26:31.721020,0,5,62,0
2026-02-09T13:26:35.721306,0,5,62,0
2026-02-09T13:26:39.743979,0,5,62,0
2026-02-09T13:26:43.822566,0,5,62,0
2026-02-09T13:26:47.947080,0,5,62,0
2026-02-09T13:26:51.926530,0,5,62,0
2026-02-09T13:26:55.918539,0,5,62,0
2026-02-09T13:26:59.923916,0,5,62,0
2026-02-09T13:27:03.921278,0,5,62,0
2026-02-09T13:27:07.972353,0,5,62,0
2026-02-09T13:27:11.975952,0,5,62,0
2026-02-09T13:27:16.132723,0,5,62,0
2026-02-09T13:27:20.317976,0,5,62,0
2026-02-09T13:27:24.323202,0,5,62,0
2026-02-09T13:27:28.322280,0,5,62,0
2026-02-09T13:27:32.326012,0,5,62,0
2026-02-09T13:27:36.271965,0,5,62,0
2026-02-09T13:27:40.439454,0,5,62,0
2026-02-09T13:27:44.629841,0,5,62,0
2026-02-09T13:27:48.669513,0,5,62,0
2026-02-09T13:27:52.671530,0,5,62,0
2026-02-09T13:27:56.672181,0,5,62,0
2026-02-09T13:28:00.685477,0,5,62,0
2026-02-09T13:28:04.668294,0,5,62,0
2026-02-09T13:28:08.772169,0,5,62,0
2026-02-09T13:28:12.773690,0,5,62,0
2026-02-09T13:28:16.822081,0,5,62,0
2026-02-09T13:28:20.832208,0,5,62,0
2026-02-09T13:28:24.870501,0,5,62,0
2026-02-09T13:28:28.871684,0,5,62,0
2026-02-09T13:28:32.870918,0,5,62,0
2026-02-09T13:28:36.873145,0,5,62,0
2026-02-09T13:28:40.821256,0,5,62,0
2026-02-09T13:28:45.024135,0,5,62,0
2026-02-09T13:28:48.924593,0,5,62,0
2026-02-09T13:28:52.933934,0,5,62,0
2026-02-09T13:28:57.019722,0,5,62,0
2026-02-09T13:29:01.027200,0,5,62,0
2026-02-09T13:29:05.124178,0,5,62,0
2026-02-09T13:29:09.127777,0,5,62,0
2026-02-09T13:29:13.120346,0,5,62,0
2026-02-09T13:29:17.173155,0,5,62,0
2026-02-09T13:29:21.173772,0,5,62,0
2026-02-09T13:29:25.177465,1,5,63,0.81
2026-02-09T13:29:28.968967,0,5,64,0
2026-02-09T13:29:33.075530,1,5,66,0.92
2026-02-09T13:29:37.076491,1,5,72,0.86
2026-02-09T13:29:41.074418,1,5,78,0.84
2026-02-09T13:29:45.327066,1,5,84,0.83
2026-02-09T13:29:49.475241,1,5,90,0.91
2026-02-09T13:29:53.480347,0,5,94,0
2026-02-09T13:29:57.477802,0,5,94,0
2026-02-09T13:30:01.377059,0,5,94,0
2026-02-09T13:30:05.320355,0,5,94,0
2026-02-09T13:30:09.320428,0,5,94,0
2026-02-09T13:30:13.374162,0,5,94,0
2026-02-09T13:30:17.477552,0,5,94,0
2026-02-09T13:30:21.475712,0,5,94,0
2026-02-09T13:30:25.473963,0,5,94,0
2026-02-09T13:30:29.476634,2,5,96,0.53
2026-02-09T13:30:33.575289,0,5,98,0
2026-02-09T13:30:37.635532,0,5,98,0
2026-02-09T13:30:41.632669,0,5,98,0
2026-02-09T13:30:45.679590,0,5,98,0
2026-02-09T13:30:49.723567,0,5,98,0
2026-02-09T13:30:53.723599,0,5,98,0
2026-02-09T13:30:57.722811,3,5,103,0.57
