timestamp,person_count,intrusions_today,alert_level
2026-02-07T13:09:51.831144,0,0,NORMAL
2026-02-07T13:09:52.934567,0,0,NORMAL
2026-02-07T13:09:54.942895,0,0,NORMAL
2026-02-07T13:09:56.947170,0,0,NORMAL
2026-02-07T13:09:58.979531,0,0,NORMAL
2026-02-07T13:10:00.953657,0,0,NORMAL
2026-02-07T13:10:02.972857,0,0,NORMAL
2026-02-07T13:10:04.945127,0,0,NORMAL
2026-02-07T13:10:06.953543,0,0,NORMAL
2026-02-07T13:10:08.939079,0,0,NORMAL
2026-02-07T13:10:10.952710,0,0,NORMAL
2026-02-07T13:10:13.054972,0,0,NORMAL
2026-02-07T13:10:14.938659,0,0,NORMAL
2026-02-07T13:10:16.935008,0,0,NORMAL
2026-02-07T13:10:18.962200,0,0,NORMAL
2026-02-07T13:10:20.941428,0,0,NORMAL
2026-02-07T13:10:22.943342,0,0,NORMAL
2026-02-07T13:10:24.943557,0,0,NORMAL
2026-02-07T13:10:26.952231,0,0,NORMAL
2026-02-07T13:10:28.947287,0,0,NORMAL
2026-02-07T13:10:30.937424,0,0,NORMAL
2026-02-07T13:10:32.933880,0,0,NORMAL
2026-02-07T13:10:34.938787,0,0,NORMAL
2026-02-07T13:10:36.976597,0,0,NORMAL
2026-02-07T13:10:38.944262,0,0,NORMAL
2026-02-07T13:10:41.019229,0,0,NORMAL
2026-02-07T13:10:42.947466,0,0,NORMAL
2026-02-07T13:10:44.957295,0,0,NORMAL
2026-02-07T13:10:46.940914,0,0,NORMAL
2026-02-07T13:12:03.652582,0,0,NORMAL
2026-02-07T13:12:04.939979,0,0,NORMAL
2026-02-07T13:12:06.936187,0,0,NORMAL
2026-02-07T13:12:08.936967,0,0,NORMAL
2026-02-07T13:12:10.958179,0,0,NORMAL
2026-02-07T13:12:12.946691,0,0,NORMAL
2026-02-07T13:12:14.952746,0,0,NORMAL
2026-02-07T13:12:16.938205,0,0,NORMAL
2026-02-07T13:12:18.948643,0,0,NORMAL
2026-02-07T13:12:21.017266,0,0,NORMAL
2026-02-07T13:12:23.029501,0,0,NORMAL
2026-02-07T13:12:25.017563,0,0,NORMAL
2026-02-07T13:12:27.038323,0,0,NORMAL
2026-02-07T13:12:29.019533,0,0,NORMAL
2026-02-07T13:12:31.018907,0,0,NORMAL
2026-02-07T13:12:33.028461,0,0,NORMAL
2026-02-07T13:12:35.039810,0,0,NORMAL
2026-02-07T13:12:37.021211,0,0,NORMAL
2026-02-07T13:12:39.032594,0,0,NORMAL
2026-02-07T13:12:41.020354,0,0,NORMAL
2026-02-07T13:12:43.023101,0,0,NORMAL
2026-02-07T13:12:45.036186,0,0,NORMAL
2026-02-07T13:12:47.023630,0,0,NORMAL
2026-02-07T13:12:49.023923,0,0,NORMAL
2026-02-07T13:12:51.027789,0,0,NORMAL
2026-02-07T13:12:53.049189,0,0,NORMAL
2026-02-07T13:12:55.014661,0,0,NORMAL
2026-02-07T13:12:57.040230,0,0,NORMAL
2026-02-07T13:12:59.029665,0,0,NORMAL
2026-02-07T13:13:01.018754,0,0,NORMAL
2026-02-07T13:13:03.030725,0,0,NORMAL
2026-02-07T13:13:05.020486,0,0,NORMAL
2026-02-07T13:13:07.020747,0,0,NORMAL
2026-02-07T13:13:09.683189,0,0,NORMAL
2026-02-07T13:13:11.137696,0,0,NORMAL
2026-02-07T13:13:13.133615,0,0,NORMAL
2026-02-07T13:34:23.358520,0,0,NORMAL
2026-02-07T13:34:24.612821,0,0,NORMAL
2026-02-07T13:34:26.601432,0,0,NORMAL
2026-02-07T13:34:28.611872,0,0,NORMAL
2026-02-07T13:34:30.602519,0,0,NORMAL
2026-02-07T13:34:32.596759,0,0,NORMAL
2026-02-07T13:34:34.608644,0,0,NORMAL
2026-02-07T13:34:36.606220,0,0,NORMAL
2026-02-07T13:34:38.611443,0,0,NORMAL
2026-02-07T13:34:40.603056,0,0,NORMAL
2026-02-07T13:34:42.602033,0,0,NORMAL
2026-02-07T13:34:44.607350,0,0,NORMAL
2026-02-07T13:34:46.606376,0,0,NORMAL
2026-02-07T13:34:48.596956,0,0,NORMAL
2026-02-07T13:34:50.608029,0,0,NORMAL
2026-02-07T13:34:52.597484,0,0,NORMAL
2026-02-07T13:34:59.473686,0,0,NORMAL
2026-02-07T13:35:00.601260,0,0,NORMAL
2026-02-07T13:35:02.598979,0,0,NORMAL
2026-02-07T13:35:04.611315,0,0,NORMAL
