timestamp,total,cars,motorcycles,buses,trucks,avg_confidence
2026-02-10T21:17:20.829868,3,1,0,0,2,0.56
2026-02-10T21:17:25.533409,3,1,0,0,2,0.58
2026-02-10T21:17:30.430707,3,1,0,0,2,0.58
2026-02-10T21:17:35.188744,3,1,0,0,2,0.54
2026-02-10T21:17:39.736943,3,1,0,0,2,0.63
2026-02-10T21:17:44.433830,3,1,0,0,2,0.58
2026-02-10T21:17:49.184332,2,1,0,0,1,0.73
2026-02-10T21:17:53.880700,3,1,0,0,2,0.54
2026-02-10T21:17:58.330425,3,1,0,0,2,0.57
2026-02-10T21:18:03.158472,2,1,0,0,1,0.71
2026-02-10T21:18:07.738664,3,1,0,0,2,0.58
2026-02-10T21:18:12.829759,3,1,0,0,2,0.6
2026-02-10T21:18:17.631517,4,1,0,0,3,0.48
2026-02-10T21:18:22.182314,2,1,0,0,1,0.86
2026-02-10T21:18:26.836938,2,1,0,0,1,0.76
2026-02-10T21:18:31.684698,2,1,0,0,1,0.78
2026-02-10T21:18:36.281395,2,1,0,0,1,0.82
2026-02-10T21:18:41.030645,3,1,0,0,2,0.53
2026-02-10T21:18:45.784562,3,1,0,0,2,0.64
2026-02-10T21:18:50.431178,3,1,0,0,2,0.57
2026-02-10T21:18:55.280773,2,1,0,0,1,0.74
2026-02-10T21:19:00.329240,3,1,0,0,2,0.6
2026-02-10T21:19:05.437413,2,1,0,0,1,0.81
2026-02-10T21:19:10.352343,3,1,0,0,2,0.58
2026-02-10T21:19:15.280993,2,1,0,0,1,0.8
2026-02-10T21:19:20.104433,3,1,0,0,2,0.6
2026-02-10T21:19:24.880040,3,1,0,0,2,0.54
2026-02-10T21:19:29.530153,3,1,0,0,2,0.58
2026-02-10T21:19:34.082265,3,1,0,0,2,0.58
2026-02-10T21:19:39.449181,2,1,0,0,1,0.8
2026-02-10T21:19:44.329482,3,1,0,0,2,0.61
2026-02-10T21:19:48.841977,2,1,0,0,1,0.85
2026-02-10T21:19:53.529890,3,1,0,0,2,0.58
2026-02-10T21:19:58.329842,2,1,0,0,1,0.78
2026-02-10T21:20:02.931376,2,1,0,0,1,0.77
2026-02-10T21:20:07.530228,3,1,0,0,2,0.56
2026-02-10T21:20:12.481837,3,1,0,0,2,0.57
2026-02-10T21:20:17.459801,3,1,0,0,2,0.55
2026-02-10T21:20:22.449627,2,1,0,0,1,0.69
2026-02-10T21:20:27.085766,4,1,0,0,3,0.5
2026-02-10T21:20:31.682670,3,1,0,0,2,0.59
2026-02-10T21:20:36.517870,3,1,0,0,2,0.62
2026-02-10T21:20:41.430371,3,1,0,0,2,0.6
2026-02-10T21:20:46.131897,3,1,0,0,2,0.54
2026-02-10T21:20:50.976841,3,1,0,0,2,0.58
2026-02-10T21:20:55.553561,3,1,0,0,2,0.59
2026-02-10T21:21:00.433902,4,1,0,0,3,0.48
2026-02-10T21:21:05.029299,2,1,0,0,1,0.68
2026-02-10T21:21:09.687732,2,1,0,0,1,0.79
2026-02-10T21:21:14.181268,2,1,0,0,1,0.8
2026-02-10T21:21:19.031286,3,1,0,0,2,0.53
2026-02-10T21:21:23.684760,4,1,0,0,3,0.45
2026-02-10T21:21:28.479834,3,1,0,0,2,0.57
2026-02-10T21:21:33.329961,2,1,0,0,1,0.77
2026-02-10T21:21:37.832053,2,1,0,0,1,0.72
2026-02-10T21:21:42.629892,2,1,0,0,1,0.76
2026-02-10T21:21:47.429457,3,1,0,0,2,0.6
2026-02-10T21:21:51.930596,2,1,0,0,1,0.8
2026-02-10T21:21:57.028551,2,1,0,0,1,0.81
2026-02-10T21:22:01.682719,3,1,0,0,2,0.53
2026-02-10T21:22:06.631713,2,1,0,0,1,0.75
2026-02-10T21:22:10.881065,3,1,0,0,2,0.57
2026-02-10T21:22:15.836540,3,1,0,0,2,0.59
2026-02-10T21:22:20.529884,3,1,0,0,2,0.62
2026-02-10T21:22:25.629483,4,1,0,0,3,0.52
2026-02-10T21:22:30.429099,3,1,0,0,2,0.56
2026-02-10T21:22:35.084766,2,1,0,0,1,0.84
2026-02-10T21:22:39.535052,2,1,0,0,1,0.71
2026-02-10T21:22:44.629215,3,1,0,0,2,0.54
2026-02-10T21:22:49.428965,3,1,0,0,2,0.6
2026-02-10T21:22:53.929745,3,1,0,0,2,0.55
2026-02-10T21:22:58.534375,3,1,0,0,2,0.57
2026-02-10T21:23:03.294044,3,1,0,0,2,0.54
2026-02-10T21:23:07.880989,3,1,0,0,2,0.57
2026-02-10T21:23:12.531300,3,1,0,0,2,0.59
2026-02-10T21:23:17.330520,3,1,0,0,2,0.58
2026-02-10T21:23:22.331435,3,1,0,0,2,0.54
2026-02-10T21:23:26.832294,3,1,0,0,2,0.59
2026-02-10T21:23:31.280181,2,1,0,0,1,0.83
2026-02-10T21:23:36.181877,3,1,0,0,2,0.61
2026-02-10T21:23:40.931161,2,1,0,0,1,0.71
2026-02-10T21:23:45.879723,3,1,0,0,2,0.54
2026-02-10T21:23:50.881086,3,1,0,0,2,0.6
2026-02-10T21:23:55.746362,4,1,0,0,3,0.46
2026-02-10T21:24:00.478288,3,1,0,0,2,0.58
2026-02-10T21:24:05.428671,2,1,0,0,1,0.83
2026-02-10T21:24:10.184483,3,1,0,0,2,0.57
2026-02-10T21:24:15.030677,3,1,0,0,2,0.57
2026-02-10T21:24:19.535684,4,1,0,0,3,0.47
2026-02-10T21:24:24.279661,3,1,0,0,2,0.62
2026-02-10T21:24:29.084433,3,1,0,0,2,0.54
2026-02-10T21:24:33.628982,2,1,0,0,1,0.85
2026-02-10T21:24:38.079604,3,1,0,0,2,0.57
2026-02-10T21:24:42.831211,2,1,0,0,1,0.75
2026-02-10T21:24:47.531310,2,1,0,0,1,0.76
2026-02-10T21:24:52.534634,3,1,0,0,2,0.58
2026-02-10T21:24:57.478300,3,1,0,0,2,0.6
2026-02-10T21:25:02.328839,3,1,0,0,2,0.56
2026-02-10T21:25:07.130916,2,1,0,0,1,0.62
2026-02-10T21:25:11.681753,2,1,0,0,1,0.78
2026-02-10T21:25:16.479443,2,1,0,0,1,0.81
2026-02-10T21:25:21.429223,3,1,0,0,2,0.57
2026-02-10T21:25:26.182524,3,1,0,0,2,0.58
2026-02-10T21:25:30.733510,3,1,0,0,2,0.58
2026-02-10T21:25:35.282777,2,1,0,0,1,0.78
