timestamp,person_count,max_today,total_detections,avg_confidence
2026-02-10T20:40:28.482788,2,2,12,0.88
2026-02-10T20:40:32.292901,2,2,24,0.86
2026-02-10T20:40:36.163129,3,3,39,0.8
2026-02-10T20:40:39.882437,2,3,52,0.9
2026-02-10T20:40:43.562461,2,3,66,0.59
2026-02-10T20:40:47.363240,3,3,82,0.66
2026-02-10T20:40:51.221925,2,3,95,0.58
2026-02-10T20:40:55.152328,1,3,101,0.87
2026-02-10T20:40:58.891940,2,3,110,0.86
2026-02-10T20:41:02.612815,1,3,118,0.91
2026-02-10T20:41:06.361361,1,3,124,0.87
2026-02-10T20:41:10.152694,2,3,131,0.79
2026-02-10T20:41:13.840093,1,3,139,0.87
2026-02-10T20:41:17.421036,1,3,147,0.88
2026-02-10T20:41:21.082254,2,3,158,0.69
2026-02-10T20:41:24.832178,2,3,166,0.6
2026-02-10T20:41:28.801608,1,3,174,0.89
2026-02-10T20:41:32.560520,1,3,180,0.89
2026-02-10T20:41:36.210833,1,3,186,0.88
2026-02-10T20:41:39.551396,1,3,192,0.85
2026-02-10T20:41:43.150247,1,3,199,0.8
2026-02-10T20:41:46.819852,1,3,205,0.84
2026-02-10T20:41:50.431047,1,3,211,0.89
2026-02-10T20:41:54.100121,1,3,217,0.89
2026-02-10T20:41:57.636534,1,3,223,0.9
2026-02-10T20:42:01.490358,1,3,229,0.92
2026-02-10T20:42:05.151499,1,3,235,0.92
2026-02-10T20:42:08.819673,1,3,241,0.9
2026-02-10T20:42:12.419842,1,3,247,0.9
2026-02-10T20:42:16.139332,1,3,253,0.88
2026-02-10T20:42:19.759453,1,3,259,0.89
2026-02-10T20:42:23.299479,1,3,265,0.89
2026-02-10T20:42:27.139428,1,3,271,0.84
2026-02-10T20:42:30.700220,1,3,277,0.88
2026-02-10T20:42:34.349205,1,3,283,0.87
2026-02-10T20:42:38.302418,1,3,289,0.86
2026-02-10T20:42:41.898343,1,3,295,0.9
2026-02-10T20:42:45.739215,3,3,309,0.81
2026-02-10T20:42:49.889199,2,3,322,0.83
2026-02-10T20:42:53.688434,2,3,335,0.8
2026-02-10T20:42:57.558942,3,3,348,0.62
2026-02-10T20:43:01.289732,3,3,365,0.76
2026-02-10T20:43:05.087983,2,3,380,0.86
2026-02-10T20:43:08.687963,2,3,392,0.88
2026-02-10T20:43:12.387670,2,3,404,0.78
2026-02-10T20:43:16.118069,3,3,419,0.71
2026-02-10T20:43:19.867285,3,3,436,0.7
2026-02-10T20:43:23.527503,2,3,453,0.91
2026-02-10T20:43:27.397999,3,3,470,0.8
2026-02-10T20:43:31.237005,2,3,482,0.74
2026-02-10T20:43:34.927367,2,3,494,0.88
2026-02-10T20:43:38.718044,3,3,511,0.91
2026-02-10T20:43:42.397024,3,3,529,0.91
2026-02-10T20:43:46.196837,3,3,547,0.9
2026-02-10T20:43:49.856727,3,3,565,0.88
2026-02-10T20:43:54.256221,3,4,582,0.69
2026-02-10T20:43:59.117396,4,4,601,0.72
2026-02-10T20:44:03.516463,4,4,620,0.71
2026-02-10T20:44:07.916229,3,4,638,0.78
2026-02-10T20:44:11.716622,2,4,654,0.77
2026-02-10T20:44:15.526777,2,4,664,0.64
2026-02-10T20:44:19.175629,1,4,674,0.69
2026-02-10T20:44:22.905523,2,4,685,0.65
2026-02-10T20:44:26.395545,3,4,698,0.89
2026-02-10T20:44:30.125404,3,4,716,0.81
2026-02-10T20:44:34.055512,3,4,734,0.81
2026-02-10T20:44:37.795430,2,4,747,0.87
2026-02-10T20:44:41.935108,3,4,763,0.74
2026-02-10T20:44:46.324956,3,4,778,0.55
2026-02-10T20:44:50.116860,3,4,792,0.57
2026-02-10T20:44:53.865004,3,4,802,0.76
2026-02-10T20:44:57.594850,2,4,817,0.87
2026-02-10T20:45:01.794598,2,4,832,0.89
2026-02-10T20:45:06.254457,2,4,844,0.54
2026-02-10T20:45:10.183852,1,4,856,0.91
2026-02-10T20:45:13.924458,1,4,862,0.88
2026-02-10T20:45:17.517404,2,4,870,0.68
2026-02-10T20:45:21.114051,2,4,881,0.65
2026-02-10T20:45:24.773878,4,4,897,0.44
2026-02-10T20:45:29.323687,2,4,909,0.55
2026-02-10T20:45:33.325650,4,4,929,0.47
2026-02-10T20:45:37.794047,2,4,946,0.89
2026-02-10T20:45:42.053660,3,4,963,0.75
2026-02-10T20:45:45.773781,3,4,967,0.65
2026-02-10T20:45:50.184174,2,4,981,0.48
2026-02-10T20:45:54.172843,1,4,984,0.33
2026-02-10T20:45:57.792786,0,4,985,0
2026-02-10T20:46:01.391899,0,4,985,0
2026-02-10T20:46:05.123570,0,4,985,0
2026-02-10T20:46:09.042618,0,4,985,0
2026-02-10T20:46:12.402568,0,4,985,0
2026-02-10T20:46:15.851297,0,4,985,0
2026-02-10T20:46:19.391703,0,4,985,0
2026-02-10T20:46:23.242833,0,4,985,0
2026-02-10T20:46:26.722242,0,4,985,0
2026-02-10T20:46:30.503876,0,4,985,0
2026-02-10T20:46:34.322549,0,4,985,0
2026-02-10T20:46:37.916119,0,4,985,0
2026-02-10T20:46:41.385712,0,4,985,0
2026-02-10T20:46:44.983969,0,4,985,0
2026-02-10T20:46:48.587837,0,4,985,0
2026-02-10T20:46:52.107624,0,4,985,0
2026-02-10T20:46:55.524499,0,4,985,0
2026-02-10T20:46:59.063550,0,4,985,0
2026-02-10T20:47:02.711220,0,4,985,0
2026-02-10T20:47:06.080084,0,4,985,0
2026-02-10T20:47:09.622803,0,4,985,0
2026-02-10T20:47:13.011252,0,4,985,0
2026-02-10T20:47:16.599745,0,4,985,0
2026-02-10T20:47:20.211494,0,4,985,0
2026-02-10T20:47:23.890951,0,4,985,0
2026-02-10T20:47:27.412751,0,4,985,0
2026-02-10T20:47:30.989722,0,4,985,0
2026-02-10T20:47:34.510171,0,4,985,0
2026-02-10T20:47:38.151303,0,4,985,0
2026-02-10T20:47:41.979448,0,4,985,0
2026-02-10T20:47:45.779306,0,4,985,0
2026-02-10T20:47:49.289555,0,4,985,0
2026-02-10T20:47:52.819070,0,4,985,0
2026-02-10T20:47:56.429135,0,4,985,0
2026-02-10T20:47:59.880300,0,4,985,0
2026-02-10T20:48:03.538723,0,4,985,0
2026-02-10T20:48:07.158197,0,4,985,0
2026-02-10T20:48:10.748899,0,4,985,0
2026-02-10T20:48:14.538371,0,4,985,0
2026-02-10T20:48:18.016897,0,4,985,0
2026-02-10T20:48:21.738209,0,4,985,0
2026-02-10T20:48:25.218151,0,4,985,0
2026-02-10T20:48:28.939090,0,4,985,0
2026-02-10T20:48:32.437628,0,4,985,0
2026-02-10T20:48:36.057474,0,4,985,0
2026-02-10T20:48:40.018157,0,4,985,0
2026-02-10T20:48:43.877251,0,4,985,0
2026-02-10T20:48:47.607955,0,4,985,0
2026-02-10T20:48:51.377310,0,4,985,0
2026-02-10T20:48:55.027688,0,4,985,0
2026-02-10T20:48:58.666851,0,4,985,0
2026-02-10T20:49:02.477680,0,4,985,0
2026-02-10T20:49:06.157175,0,4,985,0
2026-02-10T20:49:09.846257,0,4,985,0
2026-02-10T20:49:13.477039,0,4,985,0
2026-02-10T20:49:16.916588,0,4,985,0
2026-02-10T20:49:20.596038,0,4,985,0
2026-02-10T20:49:24.326675,0,4,985,0
2026-02-10T20:49:27.987539,0,4,985,0
2026-02-10T20:49:31.516176,0,4,985,0
2026-02-10T20:49:35.216824,0,4,985,0
2026-02-10T20:49:38.676071,0,4,985,0
2026-02-10T20:49:42.415889,0,4,985,0
2026-02-10T20:49:46.146080,0,4,985,0
2026-02-10T20:49:49.875424,0,4,985,0
2026-02-10T20:49:53.475413,0,4,985,0
2026-02-10T20:49:57.235546,0,4,985,0
2026-02-10T20:50:00.795099,0,4,985,0
2026-02-10T20:50:04.545578,0,4,985,0
2026-02-10T20:50:08.315173,0,4,985,0
2026-02-10T20:50:11.795347,0,4,985,0
2026-02-10T20:50:15.305258,0,4,985,0
2026-02-10T20:50:18.984355,0,4,985,0
2026-02-10T20:50:22.504901,0,4,985,0
2026-02-10T20:50:25.994469,0,4,985,0
2026-02-10T20:50:29.514414,0,4,985,0
2026-02-10T20:50:33.114625,0,4,985,0
2026-02-10T20:50:36.874786,0,4,985,0
2026-02-10T20:50:40.463874,0,4,985,0
2026-02-10T20:50:44.144020,0,4,985,0
2026-02-10T20:50:47.743995,0,4,985,0
2026-02-10T20:50:51.543534,0,4,985,0
2026-02-10T20:50:55.154767,0,4,985,0
2026-02-10T20:50:58.813911,0,4,985,0
2026-02-10T20:51:02.613861,0,4,985,0
2026-02-10T20:51:06.323361,0,4,985,0
2026-02-10T20:51:09.943343,0,4,985,0
2026-02-10T20:51:13.823379,0,4,985,0
2026-02-10T20:51:17.473058,0,4,985,0
2026-02-10T20:51:20.893512,0,4,985,0
2026-02-10T20:51:24.413728,0,4,985,0
2026-02-10T20:51:28.202701,0,4,985,0
2026-02-10T20:51:32.053318,0,4,985,0
2026-02-10T20:51:35.913201,0,4,985,0
2026-02-10T20:51:40.002528,0,4,985,0
2026-02-10T20:51:43.602288,0,4,985,0
2026-02-10T20:51:47.492593,0,4,985,0
2026-02-10T20:51:51.061783,0,4,985,0
2026-02-10T20:51:54.721702,0,4,985,0
2026-02-10T20:51:58.412351,0,4,985,0
2026-02-10T20:52:01.811629,0,4,985,0
2026-02-10T20:52:05.341760,0,4,985,0
2026-02-10T20:52:08.892866,0,4,985,0
2026-02-10T20:52:12.311383,0,4,985,0
2026-02-10T20:52:15.911608,0,4,985,0
2026-02-10T20:52:19.631074,0,4,985,0
2026-02-10T20:52:23.242195,0,4,985,0
2026-02-10T20:52:26.711325,0,4,985,0
2026-02-10T20:52:30.242653,0,4,985,0
2026-02-10T20:52:33.833704,0,4,985,0
2026-02-10T20:52:37.441576,0,4,985,0
2026-02-10T20:52:40.790637,0,4,985,0
2026-02-10T20:52:44.310541,0,4,985,0
2026-02-10T20:52:47.523754,0,4,985,0
2026-02-10T20:52:51.240533,0,4,985,0
2026-02-10T20:52:54.982587,0,4,985,0
2026-02-10T20:52:58.440420,0,4,985,0
2026-02-10T20:53:01.921118,0,4,985,0
2026-02-10T20:53:05.601498,0,4,985,0
2026-02-10T20:53:09.122657,0,4,985,0
2026-02-10T20:53:12.441507,0,4,985,0
2026-02-10T20:53:15.849317,0,4,985,0
2026-02-10T20:53:19.200947,0,4,985,0
2026-02-10T20:53:22.581698,0,4,985,0
2026-02-10T20:53:26.181512,0,4,985,0
2026-02-10T20:53:29.920347,0,4,985,0
2026-02-10T20:53:33.520551,0,4,985,0
2026-02-10T20:53:36.982346,0,4,985,0
2026-02-10T20:53:40.261235,0,4,985,0
2026-02-10T20:53:43.781648,0,4,985,0
2026-02-10T20:53:47.301696,0,4,985,0
2026-02-10T20:53:50.719099,0,4,985,0
2026-02-10T20:53:54.247956,0,4,985,0
2026-02-10T20:53:57.828593,0,4,985,0
2026-02-10T20:54:01.308522,0,4,985,0
2026-02-10T20:54:04.919047,0,4,985,0
2026-02-10T20:54:08.259948,0,4,985,0
2026-02-10T20:54:11.708991,0,4,985,0
2026-02-10T20:54:15.737592,0,4,985,0
2026-02-10T20:54:19.537754,0,4,985,0
2026-02-10T20:54:23.187511,0,4,985,0
2026-02-10T20:54:26.767627,0,4,985,0
2026-02-10T20:54:30.508116,0,4,985,0
2026-02-10T20:54:34.478148,0,4,985,0
2026-02-10T20:54:37.996930,0,4,985,0
2026-02-10T20:54:41.597229,0,4,985,0
2026-02-10T20:54:45.316716,0,4,985,0
2026-02-10T20:54:48.966780,0,4,985,0
2026-02-10T20:54:52.717131,0,4,985,0
2026-02-10T20:54:56.496516,0,4,985,0
2026-02-10T20:54:59.916503,0,4,985,0
2026-02-10T20:55:03.496526,0,4,985,0
2026-02-10T20:55:07.456732,0,4,985,0
2026-02-10T20:55:11.255896,0,4,985,0
2026-02-10T20:55:15.196007,0,4,985,0
2026-02-10T20:55:19.046061,0,4,985,0
2026-02-10T20:55:23.245976,0,4,985,0
2026-02-10T20:55:27.295817,0,4,985,0
2026-02-10T20:55:31.375636,0,4,985,0
2026-02-10T20:55:35.956496,0,4,985,0
2026-02-10T20:55:40.395853,0,4,985,0
2026-02-10T20:55:43.955541,0,4,985,0
2026-02-10T20:55:47.876126,0,4,985,0
2026-02-10T20:55:51.624536,0,4,985,0
2026-02-10T20:55:55.802397,0,4,985,0
2026-02-10T20:55:59.748589,0,4,985,0
2026-02-10T20:56:03.444567,0,4,985,0
2026-02-10T20:56:07.094786,0,4,985,0
2026-02-10T20:56:11.074240,0,4,985,0
2026-02-10T20:56:15.014927,0,4,985,0
2026-02-10T20:56:18.545359,0,4,985,0
2026-02-10T20:56:21.994704,0,4,985,0
2026-02-10T20:56:25.544082,0,4,985,0
2026-02-10T20:56:28.754215,0,4,985,0
2026-02-10T20:56:32.063668,0,4,985,0
2026-02-10T20:56:35.684667,0,4,985,0
2026-02-10T20:56:39.273892,0,4,985,0
2026-02-10T20:56:42.753749,0,4,985,0
2026-02-10T20:56:46.143770,0,4,985,0
2026-02-10T20:56:49.853149,0,4,985,0
2026-02-10T20:56:53.254310,0,4,985,0
2026-02-10T20:56:56.854297,0,4,985,0
2026-02-10T20:57:00.473154,0,4,985,0
2026-02-10T20:57:04.013392,0,4,985,0
2026-02-10T20:57:07.462746,0,4,985,0
2026-02-10T20:57:10.874083,0,4,985,0
2026-02-10T20:57:14.612971,0,4,985,0
2026-02-10T20:57:18.072669,0,4,985,0
2026-02-10T20:57:21.672544,0,4,985,0
2026-02-10T20:57:25.432324,0,4,985,0
2026-02-10T20:57:28.912791,0,4,985,0
2026-02-10T20:57:32.433142,0,4,985,0
2026-02-10T20:57:36.043244,0,4,985,0
2026-02-10T20:57:39.571895,0,4,985,0
2026-02-10T20:57:43.051806,0,4,985,0
2026-02-10T20:57:46.712544,0,4,985,0
2026-02-10T20:57:50.173719,0,4,985,0
2026-02-10T20:57:53.451710,0,4,985,0
2026-02-10T20:57:57.042154,0,4,985,0
2026-02-10T20:58:00.511532,0,4,985,0
2026-02-10T20:58:04.061494,0,4,985,0
2026-02-10T20:58:07.571130,0,4,985,0
2026-02-10T20:58:11.181057,0,4,985,0
2026-02-10T20:58:14.762323,0,4,985,0
2026-02-10T20:58:18.371067,0,4,985,0
2026-02-10T20:58:21.970974,0,4,985,0
2026-02-10T20:58:25.471575,0,4,985,0
2026-02-10T20:58:28.942329,0,4,985,0
2026-02-10T20:58:32.471021,0,4,985,0
2026-02-10T20:58:35.810395,0,4,985,0
2026-02-10T20:58:39.340360,0,4,985,0
