timestamp,total,cars,motorcycles,buses,trucks,avg_confidence
2026-02-09T12:45:57.600181,1,0,0,0,1,0.33
2026-02-09T12:46:02.048641,1,0,0,0,1,0.28
2026-02-09T12:46:06.701801,0,0,0,0,0,0
2026-02-09T12:46:12.200954,0,0,0,0,0,0
2026-02-09T12:46:16.382794,0,0,0,0,0,0
2026-02-09T12:46:20.682834,1,0,0,0,1,0.26
2026-02-09T12:52:09.351001,0,0,0,0,0,0
2026-02-09T12:52:13.946326,0,0,0,0,0,0
2026-02-09T12:52:18.615596,1,0,0,0,1,0.43
2026-02-09T12:52:23.118828,2,1,0,0,1,0.59
2026-02-09T12:52:27.753184,1,1,0,0,0,0.26
2026-02-09T12:52:32.098710,0,0,0,0,0,0
2026-02-09T12:52:36.759028,1,0,0,0,1,0.39
2026-02-09T12:52:41.945934,0,0,0,0,0,0
2026-02-09T12:52:47.198594,1,0,0,0,1,0.3
2026-02-09T12:52:51.798311,1,0,0,0,1,0.29
2026-02-09T12:52:56.398312,0,0,0,0,0,0
2026-02-09T12:53:01.563578,1,0,0,0,1,0.35
2026-02-09T12:53:06.399357,1,0,0,0,1,0.35
2026-02-09T12:53:10.611058,0,0,0,0,0,0
2026-02-09T12:53:15.197850,1,1,0,0,0,0.3
2026-02-09T12:53:19.650287,0,0,0,0,0,0
2026-02-09T13:02:24.353064,2,1,0,0,1,0.31
2026-02-09T13:02:31.562613,2,2,0,0,0,0.33
2026-02-09T13:02:37.314144,0,0,0,0,0,0
2026-02-09T13:02:42.359497,0,0,0,0,0,0
2026-02-09T13:02:47.503125,0,0,0,0,0,0
2026-02-09T13:02:52.797424,3,2,0,0,1,0.28
2026-02-09T13:29:05.594525,1,0,0,0,1,0.26
2026-02-09T13:29:11.796024,2,1,0,0,1,0.64
2026-02-09T13:29:17.742639,2,1,0,0,1,0.67
2026-02-09T13:29:23.552789,0,0,0,0,0,0
2026-02-09T13:29:29.785353,2,1,0,0,1,0.49
2026-02-09T13:29:36.052424,2,1,0,0,1,0.28
2026-02-09T13:29:43.562027,2,1,0,0,1,0.27
2026-02-09T13:29:50.442644,2,1,0,0,1,0.36
2026-02-09T13:29:56.916319,2,1,0,0,1,0.54
2026-02-09T13:30:03.544869,2,1,0,0,1,0.6
2026-02-09T13:30:09.742912,2,1,0,0,1,0.51
2026-02-09T13:30:15.283332,2,1,0,0,1,0.59
2026-02-09T13:30:19.843480,2,1,0,0,1,0.61
2026-02-09T13:30:26.868714,2,1,0,0,1,0.32
2026-02-09T13:30:34.354509,2,1,0,0,1,0.37
2026-02-09T13:30:43.842418,2,1,0,0,1,0.61
2026-02-09T13:30:50.092695,2,1,0,0,1,0.42
2026-02-09T13:30:55.993042,2,1,0,0,1,0.55
2026-02-09T13:31:01.944677,2,1,0,0,1,0.47
2026-02-09T13:31:08.967547,2,1,0,0,1,0.5
2026-02-09T13:31:15.544978,2,1,0,0,1,0.59
2026-02-09T13:31:21.242764,3,2,0,0,1,0.48
2026-02-09T13:31:26.842916,2,1,0,0,1,0.48
2026-02-09T13:31:32.192790,2,1,0,0,1,0.36
2026-02-09T13:31:36.945293,2,1,0,0,1,0.62
2026-02-09T13:31:42.746387,2,1,0,0,1,0.54
2026-02-09T13:31:47.820650,2,1,0,0,1,0.62
2026-02-09T13:31:53.117548,2,1,0,0,1,0.46
2026-02-09T13:31:58.452336,2,1,0,0,1,0.47
2026-02-09T13:32:04.441313,2,1,0,0,1,0.46
2026-02-09T13:32:11.642828,2,1,0,0,1,0.54
2026-02-09T13:32:18.838575,2,1,0,0,1,0.42
2026-02-09T13:32:25.842052,2,1,0,0,1,0.49
2026-02-09T13:32:30.407595,1,0,0,0,1,0.52
2026-02-09T13:32:35.642017,2,1,0,0,1,0.4
2026-02-09T13:32:40.676985,2,1,0,0,1,0.44
2026-02-09T13:32:46.043749,2,1,0,0,1,0.42
2026-02-09T13:32:52.393624,2,1,0,0,1,0.51
2026-02-09T13:32:57.803438,2,1,0,0,1,0.48
2026-02-09T13:33:04.447927,2,1,0,0,1,0.29
2026-02-09T13:33:09.745220,2,1,0,0,1,0.53
2026-02-09T13:33:15.443734,1,0,0,0,1,0.28
2026-02-09T13:33:20.988783,2,1,0,0,1,0.63
2026-02-09T13:33:26.041428,2,1,0,0,1,0.57
2026-02-09T13:33:31.096063,1,1,0,0,0,0.4
2026-02-09T13:33:36.421832,2,1,0,0,1,0.5
2026-02-09T13:33:42.978044,2,1,0,0,1,0.31
2026-02-09T13:33:48.398835,2,1,0,0,1,0.49
2026-02-09T13:33:54.243569,2,1,0,0,1,0.39
2026-02-09T13:34:00.793404,1,0,0,0,1,0.43
2026-02-09T13:34:06.029301,2,1,0,0,1,0.45
2026-02-09T13:34:11.443554,2,1,0,0,1,0.58
2026-02-09T13:34:17.849950,2,1,0,0,1,0.58
2026-02-09T13:34:25.371482,2,1,0,0,1,0.37
2026-02-09T13:34:30.797653,0,0,0,0,0,0
2026-02-09T13:34:35.643308,1,0,0,0,1,0.44
2026-02-09T13:34:41.316413,2,1,0,0,1,0.28
2026-02-09T13:34:46.866885,2,1,0,0,1,0.42
2026-02-09T13:34:52.044868,2,1,0,0,1,0.35
2026-02-09T13:34:57.792620,1,1,0,0,0,0.38
2026-02-09T13:35:03.347128,2,1,0,0,1,0.61
2026-02-09T13:35:08.402013,2,1,0,0,1,0.41
2026-02-09T13:35:14.099176,1,0,0,0,1,0.5
2026-02-09T13:35:20.392283,1,0,0,0,1,0.36
2026-02-09T13:35:26.113659,2,1,0,0,1,0.34
2026-02-09T13:35:31.357229,2,1,0,0,1,0.41
2026-02-09T13:35:36.360527,2,1,0,0,1,0.47
2026-02-09T13:35:42.714368,2,1,0,0,1,0.35
2026-02-09T13:35:48.033387,2,2,0,0,0,0.38
2026-02-09T13:35:53.368877,2,1,0,0,1,0.58
2026-02-09T13:35:59.742136,2,1,0,0,1,0.43
2026-02-09T13:36:05.276638,3,2,0,0,1,0.45
2026-02-09T13:36:13.338318,2,1,0,0,1,0.44
2026-02-09T13:36:28.092691,2,1,0,0,1,0.4
2026-02-09T13:36:34.443172,2,1,0,0,1,0.31
2026-02-09T13:36:41.441797,2,1,0,0,1,0.48
2026-02-09T13:36:47.942277,2,1,0,0,1,0.46
2026-02-09T13:36:54.042002,2,1,0,0,1,0.45
2026-02-09T13:36:59.993937,2,1,0,0,1,0.42
2026-02-09T13:37:06.395986,2,1,0,0,1,0.57
2026-02-09T13:37:12.352659,2,1,0,0,1,0.57
2026-02-09T13:37:18.109031,2,1,0,0,1,0.45
2026-02-09T13:37:25.289362,2,1,0,0,1,0.56
2026-02-09T13:37:30.794469,2,1,0,0,1,0.45
2026-02-09T13:37:36.247485,1,1,0,0,0,0.37
2026-02-09T13:37:42.393799,2,1,0,0,1,0.47
2026-02-09T13:37:47.392433,2,1,0,0,1,0.32
2026-02-09T13:37:53.109722,1,0,0,0,1,0.52
2026-02-09T13:37:59.797897,0,0,0,0,0,0
2026-02-09T13:38:05.595949,2,1,0,0,1,0.42
2026-02-09T13:38:12.266809,2,1,0,0,1,0.43
2026-02-09T13:38:18.134984,1,0,0,0,1,0.41
2026-02-09T13:38:23.815781,2,1,0,0,1,0.35
2026-02-09T13:38:28.996271,1,0,0,0,1,0.34
2026-02-09T13:38:34.710861,1,0,0,0,1,0.26
2026-02-09T13:38:40.011293,2,1,0,0,1,0.31
2026-02-09T13:38:45.646489,2,1,0,0,1,0.64
2026-02-09T13:38:51.342648,0,0,0,0,0,0
2026-02-09T13:38:56.757697,1,0,0,0,1,0.37
2026-02-09T13:39:02.988627,1,0,0,0,1,0.29
2026-02-09T13:39:07.672753,2,1,0,0,1,0.58
2026-02-09T13:39:13.548208,2,1,0,0,1,0.4
2026-02-09T13:39:20.094299,2,1,0,0,1,0.32
2026-02-09T13:39:25.227063,2,1,0,0,1,0.61
2026-02-09T13:39:31.439051,2,1,0,0,1,0.26
2026-02-09T13:39:36.376652,2,1,0,0,1,0.45
2026-02-09T13:39:41.478575,2,1,0,0,1,0.5
2026-02-09T13:39:47.517960,1,0,0,0,1,0.46
2026-02-09T13:39:53.394920,2,1,0,0,1,0.52
2026-02-09T13:39:58.595075,0,0,0,0,0,0
2026-02-09T13:40:04.017538,1,0,0,0,1,0.28
2026-02-09T13:40:09.445095,0,0,0,0,0,0
2026-02-09T13:40:15.944117,2,1,0,0,1,0.4
2026-02-09T13:40:20.798801,2,1,0,0,1,0.33
2026-02-09T13:40:27.209653,3,2,0,0,1,0.58
2026-02-09T13:40:33.356182,2,1,0,0,1,0.36
2026-02-09T13:40:37.960536,1,0,0,0,1,0.36
2026-02-09T13:40:42.745102,3,2,0,0,1,0.32
2026-02-09T13:40:47.796933,3,3,0,0,0,0.33
2026-02-09T13:40:52.941968,0,0,0,0,0,0
2026-02-09T13:40:57.005135,0,0,0,0,0,0
2026-02-09T13:41:01.442021,0,0,0,0,0,0
